,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.3713990449905396,6.8,0.0
1,बाघ,बिल्ली,6.4748722314834595,7.0,1.0
2,किताब,कागज़,5.339189171791077,7.6,1.0
3,कंप्यूटर,कीबोर्ड,6.908113956451416,7.6,1.0
4,कंप्यूटर,इंटरनेट,7.11635947227478,8.0,1.0
5,विमान,कार,6.274393796920776,6.0,1.0
6,रेलगाड़ी,कार,6.108958721160889,6.2,1.0
7,टेलीफोन,संचार,5.805760025978088,7.6,1.0
8,टेलीविजन,रेडियो,7.580018043518066,6.4,1.0
9,मीडिया,रेडियो,5.306770205497742,5.8,1.0
10,ब्रेड,मक्खन,7.221522927284241,6.6,1.0
11,खीरा,आलू,8.323273062705994,5.8,1.0
12,चिकित्सक,नर्स,7.003461122512817,7.6,1.0
13,प्रोफ़ेसर,चिकित्सक,5.450974702835083,4.6,0.0
14,छात्र,प्रोफ़ेसर,5.0607311725616455,7.0,1.0
15,होशियार,छात्र,3.81512850522995,5.2,0.0
16,होशियार,बेवकूफ,5.9304893016815186,6.2,1.0
17,किताब,पुस्तकालय,4.70384955406189,7.6,0.0
18,बैंक,पैसे,4.910287857055664,8.0,0.0
19,लकड़ी,जंगल,5.466519594192505,7.0,1.0
20,प्रोफ़ेसर,खीरा,1.2081574648618698,0.0,0.0
21,राजा,रानी,7.052774429321289,8.2,1.0
22,बिशप,रबी,1.4684350788593292,7.0,0.0
23,यरूशलेम,इजराइल,5.2671217918396,7.8,1.0
24,पवित्र,सेक्स,2.6205983757972717,1.0,0.0
25,माराडोना,फ़ुटबॉल,6.9023507833480835,7.8,1.0
26,फ़ुटबॉल,सॉकर,8.435312509536743,9.0,1.0
27,फ़ुटबॉल,बास्केटबाल,7.39075779914856,6.4,1.0
28,फ़ुटबॉल,टेनिस,7.513461112976074,5.8,1.0
29,टेनिस,रैकेट,5.26386559009552,7.4,1.0
30,कानून,वकील,4.935620427131653,7.8,0.0
31,चलचित्र,पॉपकॉर्न,4.097071290016174,6.6,0.0
32,चलचित्र,आलोचक,2.9972130060195923,6.6,0.0
33,चलचित्र,थिएटर,5.001434087753296,8.4,1.0
34,पीना,कार,3.183184862136841,1.4,0.0
35,पीना,कान,3.3919185400009155,0.4,0.0
36,पीना,मुंह,4.137030839920044,7.0,0.0
37,बच्चा,मां,5.511191487312317,7.2,1.0
38,पीना,मां,2.791302800178528,1.8,0.0
39,मणि,गहना,4.018123745918274,6.8,0.0
40,भट्ठी,स्टोव,7.022818326950073,8.4,1.0
41,भोजन,फल,5.981048941612244,6.6,1.0
42,पक्षी,सारस,8.535008430480957,7.4,1.0
43,भाई,साधु,2.832368016242981,1.4,0.0
44,यात्रा,कार,4.197636544704437,6.2,0.0
45,साधु,गुलाम,2.477138936519623,0.2,0.0
46,कांच,जादूगर,3.681829273700714,2.0,0.0
47,पैसे,मुद्रा,4.150247871875763,8.6,0.0
48,पैसे,धन,5.870890021324158,9.2,1.0
49,पैसे,संपत्ति,5.078940987586975,8.4,1.0
50,पैसे,बैंक,4.910287857055664,8.2,0.0
51,पैसे,जमा,4.823822379112244,6.6,0.0
52,पैसे,ऑपरेशन,3.3885908126831055,2.6,0.0
53,बाघ,जैगुआर,4.780786037445068,8.0,0.0
54,बाघ,जानवर,7.225027680397034,7.6,1.0
55,बाघ,चिड़ियाघर,7.051327228546143,6.8,1.0
56,मनोविज्ञान,चिंता,3.4812647104263306,6.2,0.0
57,मनोविज्ञान,डर,2.02025443315506,5.2,0.0
58,मनोविज्ञान,डिप्रेशन,4.415682256221771,7.0,0.0
59,मनोविज्ञान,क्लिनिक,4.649744629859924,6.4,0.0
60,मनोविज्ञान,चिकित्सक,5.237498879432678,7.0,1.0
61,मनोविज्ञान,मन,3.9057722687721252,7.4,0.0
62,मनोविज्ञान,स्वास्थ्य,5.233972072601318,6.2,1.0
63,मनोविज्ञान,विज्ञान,8.076862692832947,7.0,1.0
64,मनोविज्ञान,अनुशासन,5.243754982948303,4.2,0.0
65,,,,,0.6615384615384615
