,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.1299960613250732,6.8,0.0
1,बाघ,बिल्ली,5.336024761199951,7.0,1.0
2,किताब,कागज़,5.469305515289307,7.6,1.0
3,कंप्यूटर,कीबोर्ड,7.682934999465942,7.6,1.0
4,कंप्यूटर,इंटरनेट,8.108631372451782,8.0,1.0
5,विमान,कार,6.373138427734375,6.0,1.0
6,रेलगाड़ी,कार,7.488715648651123,6.2,1.0
7,टेलीफोन,संचार,3.745673894882202,7.6,0.0
8,टेलीविजन,रेडियो,8.019670248031616,6.4,1.0
9,मीडिया,रेडियो,4.965293109416962,5.8,0.0
10,ब्रेड,मक्खन,8.23698878288269,6.6,1.0
11,खीरा,आलू,8.303862810134888,5.8,1.0
12,चिकित्सक,नर्स,7.180417776107788,7.6,1.0
13,प्रोफ़ेसर,चिकित्सक,4.706634879112244,4.6,0.0
14,छात्र,प्रोफ़ेसर,4.458838403224945,7.0,0.0
15,होशियार,छात्र,2.221747785806656,5.2,0.0
16,होशियार,बेवकूफ,6.045511960983276,6.2,1.0
17,किताब,पुस्तकालय,2.882695198059082,7.6,0.0
18,बैंक,पैसे,4.355809390544891,8.0,0.0
19,लकड़ी,जंगल,5.527214407920837,7.0,1.0
20,प्रोफ़ेसर,खीरा,-0.0515621667727828,0.0,0.0
21,राजा,रानी,6.61905825138092,8.2,1.0
22,बिशप,रबी,-1.189306527376175,7.0,0.0
23,यरूशलेम,इजराइल,5.509077310562134,7.8,1.0
24,पवित्र,सेक्स,0.9757401049137115,1.0,0.0
25,माराडोना,फ़ुटबॉल,7.276397943496704,7.8,1.0
26,फ़ुटबॉल,सॉकर,8.768568634986877,9.0,1.0
27,फ़ुटबॉल,बास्केटबाल,7.947431206703186,6.4,1.0
28,फ़ुटबॉल,टेनिस,8.42240571975708,5.8,1.0
29,टेनिस,रैकेट,2.219862788915634,7.4,0.0
30,कानून,वकील,3.841879367828369,7.8,0.0
31,चलचित्र,पॉपकॉर्न,2.4394677579402924,6.6,0.0
32,चलचित्र,आलोचक,3.5865935683250427,6.6,0.0
33,चलचित्र,थिएटर,5.928102135658264,8.4,1.0
34,पीना,कार,0.14033539220690727,1.4,0.0
35,पीना,कान,1.3512139022350311,0.4,0.0
36,पीना,मुंह,2.2652241587638855,7.0,0.0
37,बच्चा,मां,5.297820568084717,7.2,1.0
38,पीना,मां,1.6959014534950256,1.8,0.0
39,मणि,गहना,3.614458441734314,6.8,0.0
40,भट्ठी,स्टोव,7.895334362983704,8.4,1.0
41,भोजन,फल,6.405231356620789,6.6,1.0
42,पक्षी,सारस,8.715890049934387,7.4,1.0
43,भाई,साधु,3.4423446655273438,1.4,0.0
44,यात्रा,कार,3.7126174569129944,6.2,0.0
45,साधु,गुलाम,2.0122456550598145,0.2,0.0
46,कांच,जादूगर,2.2748997807502747,2.0,0.0
47,पैसे,मुद्रा,2.7428430318832397,8.6,0.0
48,पैसे,धन,6.681554317474365,9.2,1.0
49,पैसे,संपत्ति,4.640902578830719,8.4,0.0
50,पैसे,बैंक,4.355809390544891,8.2,0.0
51,पैसे,जमा,4.152074158191681,6.6,0.0
52,पैसे,ऑपरेशन,1.544610857963562,2.6,0.0
53,बाघ,जैगुआर,2.182716280221939,8.0,0.0
54,बाघ,जानवर,7.367997169494629,7.6,1.0
55,बाघ,चिड़ियाघर,6.227161288261414,6.8,1.0
56,मनोविज्ञान,चिंता,1.6610094904899597,6.2,0.0
57,मनोविज्ञान,डर,-0.40998175740242004,5.2,0.0
58,मनोविज्ञान,डिप्रेशन,3.7255433201789856,7.0,0.0
59,मनोविज्ञान,क्लिनिक,3.094649910926819,6.4,0.0
60,मनोविज्ञान,चिकित्सक,4.528347551822662,7.0,0.0
61,मनोविज्ञान,मन,2.513045072555542,7.4,0.0
62,मनोविज्ञान,स्वास्थ्य,4.3044158816337585,6.2,0.0
63,मनोविज्ञान,विज्ञान,7.902854084968567,7.0,1.0
64,मनोविज्ञान,अनुशासन,5.841777324676514,4.2,0.0
65,,,,,0.5692307692307692
