,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,4.3305253982543945,6.8,1.0
1,बाघ,बिल्ली,5.996534824371338,7.0,1.0
2,किताब,कागज़,6.407840251922607,7.6,1.0
3,कंप्यूटर,कीबोर्ड,6.321788430213928,7.6,1.0
4,कंप्यूटर,इंटरनेट,7.983269691467285,8.0,1.0
5,विमान,कार,7.168454527854919,6.0,1.0
6,रेलगाड़ी,कार,6.551094055175781,6.2,1.0
7,टेलीफोन,संचार,5.788381099700928,7.6,1.0
8,टेलीविजन,रेडियो,7.840641736984253,6.4,1.0
9,मीडिया,रेडियो,6.5340882539749146,5.8,1.0
10,ब्रेड,मक्खन,6.941811442375183,6.6,1.0
11,खीरा,आलू,6.759383678436279,5.8,1.0
12,चिकित्सक,नर्स,7.424002289772034,7.6,1.0
13,प्रोफ़ेसर,चिकित्सक,5.708070993423462,4.6,1.0
14,छात्र,प्रोफ़ेसर,5.271254777908325,7.0,1.0
15,होशियार,छात्र,4.578794836997986,5.2,1.0
16,होशियार,बेवकूफ,6.331541538238525,6.2,1.0
17,किताब,पुस्तकालय,4.834224879741669,7.6,1.0
18,बैंक,पैसे,6.667358875274658,8.0,1.0
19,लकड़ी,जंगल,6.436089277267456,7.0,1.0
20,प्रोफ़ेसर,खीरा,-0.10984552092850208,0.0,0.0
21,राजा,रानी,7.502501010894775,8.2,1.0
22,बिशप,रबी,0.767589807510376,7.0,0.0
23,यरूशलेम,इजराइल,5.481491684913635,7.8,1.0
24,पवित्र,सेक्स,4.157187640666962,1.0,0.0
25,माराडोना,फ़ुटबॉल,4.078155159950256,7.8,1.0
26,फ़ुटबॉल,सॉकर,7.98755943775177,9.0,1.0
27,फ़ुटबॉल,बास्केटबाल,6.704593300819397,6.4,1.0
28,फ़ुटबॉल,टेनिस,6.750377416610718,5.8,1.0
29,टेनिस,रैकेट,4.488101601600647,7.4,1.0
30,कानून,वकील,6.45300030708313,7.8,1.0
31,चलचित्र,पॉपकॉर्न,1.624627560377121,6.6,0.0
32,चलचित्र,आलोचक,4.131037890911102,6.6,1.0
33,चलचित्र,थिएटर,5.338535308837891,8.4,1.0
34,पीना,कार,2.471587061882019,1.4,0.0
35,पीना,कान,4.376611113548279,0.4,0.0
36,पीना,मुंह,4.646350145339966,7.0,1.0
37,बच्चा,मां,7.309494614601135,7.2,1.0
38,पीना,मां,4.227932691574097,1.8,0.0
39,मणि,गहना,3.5145965218544006,6.8,0.0
40,भट्ठी,स्टोव,6.328403949737549,8.4,1.0
41,भोजन,फल,7.645974159240723,6.6,1.0
42,पक्षी,सारस,7.725167870521545,7.4,1.0
43,भाई,साधु,4.921555817127228,1.4,0.0
44,यात्रा,कार,5.762995481491089,6.2,1.0
45,साधु,गुलाम,3.3390113711357117,0.2,0.0
46,कांच,जादूगर,3.326064348220825,2.0,0.0
47,पैसे,मुद्रा,6.116830110549927,8.6,1.0
48,पैसे,धन,7.875885367393494,9.2,1.0
49,पैसे,संपत्ति,6.881061792373657,8.4,1.0
50,पैसे,बैंक,6.667358875274658,8.2,1.0
51,पैसे,जमा,7.138369083404541,6.6,1.0
52,पैसे,ऑपरेशन,3.5368555784225464,2.6,0.0
53,बाघ,जैगुआर,2.7372658252716064,8.0,0.0
54,बाघ,जानवर,7.750576138496399,7.6,1.0
55,बाघ,चिड़ियाघर,6.412073373794556,6.8,1.0
56,मनोविज्ञान,चिंता,4.3711066246032715,6.2,1.0
57,मनोविज्ञान,डर,3.298727571964264,5.2,0.0
58,मनोविज्ञान,डिप्रेशन,4.416730105876923,7.0,1.0
59,मनोविज्ञान,क्लिनिक,4.531776309013367,6.4,1.0
60,मनोविज्ञान,चिकित्सक,6.010799407958984,7.0,1.0
61,मनोविज्ञान,मन,3.8086679577827454,7.4,0.0
62,मनोविज्ञान,स्वास्थ्य,5.971481800079346,6.2,1.0
63,मनोविज्ञान,विज्ञान,8.304848670959473,7.0,1.0
64,मनोविज्ञान,अनुशासन,6.14322304725647,4.2,1.0
65,,,,,0.8461538461538461
